race_name,race_class,name,nationality,rider_id,final_position,total_time,total_points,pro_points,queen_points,power_points,team.teamClass,team.teamClassId,team.teamId,team.teamName,stage_1_time,stage_1_stage_result,stage_1_cumulative_result,stage_1_cumulative_behind,stage_1_overall_time,stage_2_time,stage_2_stage_result,stage_2_cumulative_result,stage_2_cumulative_behind,stage_2_overall_time,stage_3_time,stage_3_stage_result,stage_3_cumulative_result,stage_3_cumulative_behind,stage_3_overall_time,stage_4_time,stage_4_stage_result,stage_4_cumulative_result,stage_4_cumulative_behind,stage_4_overall_time,stage_5_time,stage_5_stage_result,stage_5_cumulative_result,stage_5_cumulative_behind,stage_5_overall_time,stage_6_time,stage_6_stage_result,stage_6_cumulative_result,stage_6_cumulative_behind,stage_6_overall_time,stage_0_time,stage_0_stage_result,stage_0_cumulative_result,stage_0_cumulative_behind,stage_0_overall_time
EWS Burke,WOMEN | Master 35+,THOMSEN Sandra Bohn,DEN,33584,1,+00:00:42:52.280,180,15,15,N/A,N/A,N/A,N/A,N/A,+00:00:08:32.300,1,1,+00:00:00:00.000,+00:00:08:32.300,+00:00:07:56.120,2,1,+00:00:00:00.000,+00:00:16:28.420,+00:00:03:46.650,2,1,+00:00:00:00.000,+00:00:20:15.070,+00:00:03:08.250,2,1,+00:00:00:00.000,+00:00:23:23.320,+00:00:11:23.830,1,1,+00:00:00:00.000,+00:00:34:47.150,+00:00:08:05.130,1,1,+00:00:00:00.000,+00:00:42:52.280,,,,,
EWS Burke,WOMEN | Master 35+,NEWELL Melissa,NZL,21458,2,+00:00:43:59.310,120,10,10,N/A,N/A,N/A,N/A,N/A,+00:00:08:45.150,2,2,+00:00:00:12.850,+00:00:08:45.150,+00:00:07:53.840,1,2,+00:00:00:10.570,+00:00:16:38.990,+00:00:03:46.340,1,2,+00:00:00:10.260,+00:00:20:25.330,+00:00:03:05.420,1,2,+00:00:00:07.430,+00:00:23:30.750,+00:00:11:48.630,2,2,+00:00:00:32.230,+00:00:35:19.380,+00:00:08:39.930,2,2,+00:00:01:07.030,+00:00:43:59.310,,,,,
EWS Burke,WOMEN | Master 35+,MCCONNELOUG Mary,USA,22390,3,+00:00:49:09.210,60,5,5,N/A,N/A,N/A,N/A,N/A,+00:00:10:49.820,3,3,+00:00:02:17.520,+00:00:10:49.820,+00:00:08:22.800,4,3,+00:00:02:44.200,+00:00:19:12.620,+00:00:04:12.290,5,3,+00:00:03:09.840,+00:00:23:24.910,+00:00:03:24.400,5,4,+00:00:03:25.990,+00:00:26:49.310,+00:00:12:44.720,3,4,+00:00:04:46.880,+00:00:39:34.030,+00:00:09:35.180,3,3,+00:00:06:16.930,+00:00:49:09.210,,,,,
EWS Burke,WOMEN | Master 35+,CONTENTOANGELL Kristine,USA,33608,4,+00:00:50:05.980,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:11:22.970,4,4,+00:00:02:50.670,+00:00:11:22.970,+00:00:08:00.800,3,4,+00:00:02:55.350,+00:00:19:23.770,+00:00:04:01.620,3,4,+00:00:03:10.320,+00:00:23:25.390,+00:00:03:16.610,4,3,+00:00:03:18.680,+00:00:26:42.000,+00:00:12:50.530,4,3,+00:00:04:45.380,+00:00:39:32.530,+00:00:10:33.450,5,4,+00:00:07:13.700,+00:00:50:05.980,,,,,
EWS Burke,WOMEN | Master 35+,KANAYAN Heidi,USA,24737,5,+00:00:53:15.800,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:12:39.280,5,5,+00:00:05:06.980,+00:00:13:39.280,+00:00:08:40.320,5,5,+00:00:05:51.180,+00:00:22:19.600,+00:00:04:01.980,4,5,+00:00:06:06.510,+00:00:26:21.580,+00:00:03:15.220,3,5,+00:00:06:13.480,+00:00:29:36.800,+00:00:13:30.700,5,5,+00:00:08:20.350,+00:00:43:07.500,+00:00:10:08.300,4,5,+00:00:10:23.520,+00:00:53:15.800,,,,,
EWS Burke,MEN | Master 35+,KIRSCHER Franck,FRA,22930,1,+00:00:35:02.680,330,15,15,N/A,N/A,N/A,N/A,N/A,+00:00:06:33.370,1,1,+00:00:00:00.000,+00:00:06:33.370,+00:00:06:28.900,1,1,+00:00:00:00.000,+00:00:13:02.270,+00:00:03:15.070,2,1,+00:00:00:00.000,+00:00:16:17.340,+00:00:02:38.790,1,1,+00:00:00:00.000,+00:00:18:56.130,+00:00:09:24.390,1,1,+00:00:00:00.000,+00:00:28:20.520,+00:00:06:42.160,3,1,+00:00:00:00.000,+00:00:35:02.680,,,,,
EWS Burke,MEN | Master 35+,AMOUR Karim,FRA,21696,2,+00:00:36:25.690,265,10,5,N/A,Pro,2,49,BH Enduro Racing Team,+00:00:06:59.940,2,2,+00:00:00:26.570,+00:00:06:59.940,+00:00:06:52.250,6,2,+00:00:00:49.920,+00:00:13:52.190,+00:00:03:20.170,7,2,+00:00:00:55.020,+00:00:17:12.360,+00:00:02:44.390,3,2,+00:00:01:00.620,+00:00:19:56.750,+00:00:09:53.850,3,2,+00:00:01:30.080,+00:00:29:50.600,+00:00:06:35.090,1,2,+00:00:01:23.010,+00:00:36:25.690,,,,,
EWS Burke,MEN | Master 35+,WEIDEMANN Mads,DEN,33629,3,+00:00:36:38.910,230,N/A,10,N/A,N/A,N/A,N/A,N/A,+00:00:07:07.820,4,4,+00:00:00:34.450,+00:00:07:07.820,+00:00:06:52.130,5,4,+00:00:00:57.680,+00:00:13:59.950,+00:00:03:16.770,3,5,+00:00:00:59.380,+00:00:17:16.720,+00:00:02:46.500,8,5,+00:00:01:07.090,+00:00:20:03.220,+00:00:09:53.780,2,3,+00:00:01:36.480,+00:00:29:57.000,+00:00:06:41.910,2,3,+00:00:01:36.230,+00:00:36:38.910,,,,,
EWS Burke,MEN | Master 35+,CANFIELD Christopher,USA,35613,4,+00:00:36:45.430,205,5,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:07.600,3,3,+00:00:00:34.230,+00:00:07:07.600,+00:00:06:49.050,3,3,+00:00:00:54.380,+00:00:13:56.650,+00:00:03:17.450,4,3,+00:00:00:56.760,+00:00:17:14.100,+00:00:02:45.600,6,3,+00:00:01:03.570,+00:00:19:59.700,+00:00:09:59.020,7,5,+00:00:01:38.200,+00:00:29:58.720,+00:00:06:46.710,4,4,+00:00:01:42.750,+00:00:36:45.430,,,,,
EWS Burke,MEN | Master 35+,LEDUC Charles,CAN,39128,5,+00:00:36:55.740,190,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:13.570,5,5,+00:00:00:40.200,+00:00:07:13.570,+00:00:06:48.380,2,5,+00:00:00:59.680,+00:00:14:01.950,+00:00:03:13.690,1,4,+00:00:00:58.300,+00:00:17:15.640,+00:00:02:45.140,4,4,+00:00:01:04.650,+00:00:20:00.780,+00:00:09:57.170,5,4,+00:00:01:37.430,+00:00:29:57.950,+00:00:06:57.790,6,5,+00:00:01:53.060,+00:00:36:55.740,,,,,
EWS Burke,MEN | Master 35+,COOPER William,USA,23457,6,+00:00:37:03.430,180,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:13.940,6,6,+00:00:00:40.570,+00:00:07:13.940,+00:00:06:51.450,4,6,+00:00:01:03.120,+00:00:14:05.390,+00:00:03:25.860,12,6,+00:00:01:13.910,+00:00:17:31.250,+00:00:02:44.300,2,6,+00:00:01:19.420,+00:00:20:15.550,+00:00:09:57.900,6,6,+00:00:01:52.930,+00:00:30:13.450,+00:00:06:49.980,5,6,+00:00:02:00.750,+00:00:37:03.430,,,,,
EWS Burke,MEN | Master 35+,BRODERICK Michael,USA,22376,7,+00:00:37:37.650,170,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:32.810,11,11,+00:00:00:59.440,+00:00:07:32.810,+00:00:06:56.070,10,10,+00:00:01:26.610,+00:00:14:28.880,+00:00:03:19.290,5,9,+00:00:01:30.830,+00:00:17:48.170,+00:00:02:46.220,7,8,+00:00:01:38.260,+00:00:20:34.390,+00:00:09:56.400,4,7,+00:00:02:10.270,+00:00:30:30.790,+00:00:07:06.860,8,7,+00:00:02:34.970,+00:00:37:37.650,,,,,
EWS Burke,MEN | Master 35+,SCHEIDING Jason,USA,22966,8,+00:00:37:46.650,160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:22.540,8,8,+00:00:00:49.170,+00:00:07:22.540,+00:00:06:55.370,9,7,+00:00:01:15.640,+00:00:14:17.910,+00:00:03:20.120,6,7,+00:00:01:20.690,+00:00:17:38.030,+00:00:02:45.580,5,7,+00:00:01:27.480,+00:00:20:23.610,+00:00:10:15.630,10,8,+00:00:02:18.720,+00:00:30:39.240,+00:00:07:07.410,9,8,+00:00:02:43.970,+00:00:37:46.650,,,,,
